Time (ps),3max_apo,3max,4lxz,4ly1,5iwg,5ix0
3380,1.089056,1.05301,0.770296,1.129929,1.172871,1.167045
3390,0.923513,1.180421,0.81139,1.205914,1.198507,1.109053
3400,0.894699,1.075142,0.853235,1.195717,1.204292,1.181861
3410,0.98057,1.1161,0.89453,1.192812,1.241774,1.185824
3420,0.920646,1.132497,0.884216,1.176177,1.230173,1.196906
3430,0.946444,1.09479,0.902724,1.166674,1.211354,1.181692
3440,0.964716,1.224148,0.747256,1.17954,1.095416,1.183279
3450,1.033905,1.090347,0.784685,1.181624,1.143675,1.18948
3460,1.072649,1.160877,0.709585,1.170575,1.231419,1.113109
3470,1.133818,1.092366,0.813318,1.118676,1.224529,1.150248
3480,0.985844,1.068319,0.774685,1.167836,1.144805,1.248515
3490,1.037379,1.064708,0.775973,1.10511,1.16086,1.24581
3500,0.91239,1.214044,0.751997,1.08364,1.21105,1.1474
3510,0.99034,1.212275,0.779568,1.113173,1.311903,1.20208
3520,1.085521,1.157507,0.819831,1.142081,1.161013,1.196291
3530,0.953692,1.117284,0.847098,1.073686,1.184496,1.166046
3540,1.015857,1.102422,0.820204,1.102073,1.076828,1.13697
3550,0.923914,1.08353,0.842365,1.143006,1.240289,1.134562
3560,0.907001,1.051211,0.84455,1.10434,1.183584,1.097924
3570,0.864967,1.12284,0.844077,1.043509,1.092134,1.207171
3580,0.894371,1.115374,0.80445,1.058099,1.112175,1.120608
3590,0.96018,1.264424,0.83796,1.085252,1.105203,1.133669
3600,0.912866,1.281914,0.851506,1.073362,1.285526,1.157146
3610,0.81571,1.260579,0.834196,1.170794,1.240276,1.249188
3620,0.857235,1.133624,0.776548,1.161719,1.183158,1.223601
3630,0.936726,1.065896,0.788795,1.088706,1.242858,1.186452
3640,0.96666,0.955804,0.785842,1.09236,1.088906,1.186059
3650,0.961214,0.971582,0.765344,1.125068,1.105495,1.169936
3660,0.94897,0.872075,0.765625,1.211794,1.14136,1.257809
3670,0.907145,0.835518,0.766875,1.134726,1.219181,1.124438
3680,0.917388,0.85984,0.783498,1.115343,1.198422,1.090826
3690,0.970491,0.754046,0.918255,1.107567,1.143008,1.174677
3700,1.141656,0.803573,0.745797,1.119403,1.183296,1.219685
3710,1.21505,0.828864,0.710521,1.087496,1.169586,1.132934
3720,1.075278,0.910297,0.752,1.049019,1.221644,1.229977
3730,1.121914,0.833691,0.703987,1.085258,1.265274,1.224545
3740,1.139946,0.786024,0.801919,1.084974,1.215033,1.199858
3750,1.028392,0.722437,0.830429,1.085943,1.147444,1.187675
3760,1.036723,0.822141,0.799529,1.082136,1.161754,1.299154
3770,0.965749,0.820361,0.771649,1.09972,1.064036,1.254704
3780,0.973486,0.799685,0.776184,1.082122,0.994224,1.201257
3790,0.947387,0.779634,0.733802,1.098398,1.005974,1.267555
3800,1.081589,0.769207,0.814512,1.111235,1.04095,1.25752
3810,1.070378,0.817394,0.756943,1.110106,0.983312,1.223377
3820,0.997356,0.764324,0.849459,1.181828,1.052773,1.230146
3830,1.003877,0.797497,0.820897,1.157161,1.106024,1.184846
3840,0.955401,0.828056,0.908057,1.203402,1.058523,1.144326
3850,0.953801,0.79396,0.940676,1.113651,1.02723,1.178448
3860,1.039604,0.992489,0.989381,1.045328,0.987434,1.190608
3870,0.962645,0.814312,1.054023,1.110102,1.042254,1.217197
3880,0.977111,0.93861,0.924439,1.117392,1.012935,1.196699
3890,1.050038,0.817982,0.983841,1.127975,1.018684,1.190246
3900,0.985002,0.821843,1.019754,1.08926,1.057384,1.163579
3910,0.953179,0.837227,0.901665,1.100708,1.079853,1.231665
3920,0.948514,0.867509,0.8323,1.091969,1.035017,1.219399
3930,0.941895,0.824038,0.975058,1.097618,1.009598,1.120945
3940,0.927175,0.897727,0.913065,1.034715,1.092878,1.086269
3950,1.11581,0.867478,0.940496,1.065684,1.029265,1.141061
3960,0.993986,0.935226,0.848201,0.991457,1.025083,1.197456
3970,1.123335,0.88384,0.80377,1.029665,1.096581,1.205813
3980,0.892937,0.895542,0.852746,1.047694,1.100199,1.24111
3990,0.844847,0.943813,0.910282,1.062008,1.198557,1.20575
4000,0.914005,0.970381,0.890585,1.079423,1.105457,1.169688
4010,0.867916,0.949434,0.811179,0.999384,1.227313,1.305812
4020,0.84833,1.043229,0.783512,0.912248,1.169545,1.150604
4030,0.853437,1.058249,0.751692,0.915341,1.105875,1.218443
4040,0.847824,1.066879,0.824175,0.913684,1.117192,1.225903
4050,0.872002,1.089191,0.974912,0.854502,1.123735,1.168636
